Date,Close/Last,Volume,Open,High,Low
01/11/2022,$48.52,1955136,$48.77,$48.91,$48.05
01/10/2022,$48.57,3304481,$49.1,$49.43,$48.01
01/07/2022,$48.87,2796079,$48.33,$49.245,$48.277
01/06/2022,$48.34,2773861,$49.19,$49.27,$48.07
01/05/2022,$48.69,4216128,$48.43,$49.38,$48.4
01/04/2022,$48.47,4110569,$47.02,$49.0351,$47
01/03/2022,$46.79,2808428,$47.35,$47.55,$46.65
12/31/2021,$46.98,1790298,$46.56,$47.17,$46.56
12/30/2021,$46.68,1670145,$46.84,$47.19,$46.62
12/29/2021,$46.72,1786916,$46.51,$46.98,$46.51
12/28/2021,$46.67,2112365,$46.3,$46.7998,$46.3
12/27/2021,$46.33,1753982,$45.8,$46.39,$45.75
12/23/2021,$45.84,2403554,$45.57,$46.03,$45.505
12/22/2021,$45.27,3231660,$45.33,$45.64,$44.91
12/21/2021,$45.32,3963322,$45,$45.69,$45
12/20/2021,$44.57,5221040,$45.22,$45.45,$43.87
12/17/2021,$45.84,7607863,$47.06,$47.2,$45.75
12/16/2021,$47.01,5386534,$46.42,$47.14,$46.32
12/15/2021,$46.2,5467812,$45.6,$46.29,$44.88
12/14/2021,$45.54,6463211,$45.9,$46.27,$45.395
12/13/2021,$45.84,4100528,$45.87,$46.12,$45.27
12/10/2021,$45.89,4555125,$46.5,$46.5,$45.745
12/09/2021,$46.17,4403336,$46.22,$46.66,$45.79
12/08/2021,$46.4,11208580,$46.76,$47.21,$46.205
12/07/2021,$46.65,4326557,$47.18,$47.32,$46.255
12/06/2021,$47.05,4119916,$46.86,$47.49,$46.855
12/03/2021,$46.45,3939343,$45.77,$47.005,$45.77
12/02/2021,$45.88,4267639,$45.41,$46.21,$45.07
12/01/2021,$45.13,3947405,$46.12,$46.68,$45.13
11/30/2021,$45.52,6170672,$46.81,$46.9,$45.275
11/29/2021,$47.22,2721419,$48.16,$48.16,$47.19
11/26/2021,$47.53,2330731,$46.44,$47.8,$46.18
11/24/2021,$47.55,1892861,$48.37,$48.37,$47.46
11/23/2021,$48.31,1924516,$48.57,$48.6,$48.01
11/22/2021,$48.44,3318153,$47.62,$48.76,$46.91
11/19/2021,$47.58,2919553,$48.08,$48.27,$47.26
11/18/2021,$48.57,2186805,$48.9,$49.39,$48.32
11/17/2021,$48.93,2326424,$49.15,$49.35,$48.77
11/16/2021,$49.27,2047268,$49.41,$49.84,$49.25
11/15/2021,$49.45,2518746,$49.4,$49.48,$49.045
11/12/2021,$49.28,2452418,$49.76,$50.16,$49.17
11/11/2021,$50.15,2107377,$49.86,$50.28,$49.45
11/10/2021,$49.7,3359404,$49.46,$50.1,$49.25
11/09/2021,$49.28,2577129,$49.18,$49.56,$48.9
11/08/2021,$49.34,3276043,$49.14,$49.595,$48.84
11/05/2021,$48.87,2259477,$48.98,$49.7318,$48.82
11/04/2021,$48.75,2900074,$49.78,$50.2,$48.525
11/03/2021,$49.91,3235301,$48.73,$50.03,$48.73
11/02/2021,$48.95,3939264,$49.23,$49.85,$48.84
11/01/2021,$49.1,4283795,$48.86,$49.7,$48.52
10/29/2021,$49.67,3188104,$49.72,$50.65,$49.51
10/28/2021,$49.69,3791031,$50.08,$50.525,$49.55
10/27/2021,$50.18,5247161,$51.92,$52.33,$49.78
10/26/2021,$53.04,2906644,$53.12,$53.44,$52.48
10/25/2021,$52.98,1787308,$53.13,$53.51,$52.75
10/22/2021,$53.03,2279705,$53.45,$53.96,$52.955
10/21/2021,$53.16,1679654,$53.48,$53.79,$52.74
10/20/2021,$53.53,2790392,$52.01,$53.83,$52.01
10/19/2021,$52.06,3824667,$52.21,$52.499,$51.73
